,px,timestamp
37646,1.0,1715876916
66840,1.0,1716663475
66847,1.0042260215307854,1716663690
66853,1.004233375020412,1716663811
67205,1.0042357616770348,1716689123
67367,1.004251981330589,1716699382
67390,1.0042762112182164,1716700930
67391,1.0042810559496158,1716700953
67610,1.004283144420416,1716713215
67614,1.0042838230826723,1716713284
67708,0.9952950816206982,1716717948
67709,0.9996212199092175,1716718065
67710,1.0009775724571401,1716718139
67837,1.0012000582617095,1716724315
67839,1.0011998713649364,1716724398
67858,1.0012083626223163,1716724892
67864,1.0002853167069443,1716724990
68019,1.00000925231665,1716733945
68354,1.0000028253681328,1716746896
68365,1.0000104377104602,1716747048
68370,1.000010488402907,1716747142
68432,1.000023620057767,1716749782
68433,1.0000367517988458,1716749845
68434,1.0000367517988458,1716749949
