,px,timestamp
34891,1.0,1715796440
43924,1.0,1715990219
43949,1.0046811975380006,1715991418
44098,1.004680667607925,1715996558
44162,1.004668224153498,1715998056
44174,1.0046599326777192,1715998296
44182,1.004665587808846,1715998385
44190,1.0046691324832275,1715998446
44193,1.0046696242522848,1715998497
44201,1.0046869515813446,1715998558
44210,1.0047007131698817,1715998698
44267,1.0046997579710741,1716001073
44413,1.0046994873193202,1716004976
44656,1.0047092317677468,1716010890
44872,1.0047109330458845,1716020888
44901,1.0047108037987538,1716021844
44905,1.0047107165569549,1716021934
44950,1.0047126449420134,1716023877
45004,1.0047127080630691,1716025995
45015,1.0047127143723138,1716026221
45058,1.0047123654457375,1716028553
45092,1.0047126127205765,1716029989
45127,1.0047126136106037,1716030955
45348,1.0047136993717436,1716037795
45460,1.00487006412884,1716039898
45476,1.0048288483710202,1716039998
45485,1.004821979324583,1716040056
45505,1.0048083364009295,1716040156
45591,1.0048086142185728,1716041575
45671,1.0047854768788678,1716043677
45745,1.0047866338341918,1716045219
45857,1.004788993754226,1716047645
45859,1.0047888063057884,1716047702
46080,1.0047888204746844,1716054200
46150,1.0046559697438253,1716057143
46173,1.0046545967138747,1716057438
46178,1.0046544816161918,1716057545
46198,1.0046528037788744,1716058234
46204,1.004652797160138,1716058319
46294,1.0046475509935675,1716060704
46338,1.0046468142464846,1716060960
46342,1.0046461260676656,1716060999
46389,1.004645357418397,1716061336
46402,1.0046445901617735,1716061494
46531,1.0046456406140634,1716065532
46815,1.004644760157657,1716073891
46824,1.004642688944074,1716074410
46853,1.0046654966894037,1716076031
46867,1.0046597319022539,1716076251
46881,1.0046600260940715,1716076391
46882,1.0046601437708107,1716076395
46897,1.0046601318880732,1716076530
46900,1.0046601318880732,1716076597
