,px,timestamp
50537,1.0,1716250807
64931,1.0,1716577194
64951,1.010022895978254,1716577348
64973,1.010021587847677,1716577548
65105,1.0100213764756312,1716582109
65215,1.0100213709102053,1716585581
65221,1.0100212895593979,1716585628
65337,1.010021556343875,1716588583
65639,1.0100216809952869,1716603175
65887,1.0100198754498249,1716613472
65891,1.0100180699092045,1716613527
65895,1.010015030075644,1716613726
65912,1.0100139025725636,1716614359
66196,1.0100139667216086,1716626557
66411,1.0100140261808606,1716640199
66841,1.0100140261808606,1716663599
