,px,timestamp
37816,2949.3199999999997,1715879570
43924,2949.3199999999997,1715990219
43956,1.3180573327278542,1715991491
43964,1.3945118149628721,1715991732
43976,1.4064213941227344,1715992467
43980,1.4064710061393895,1715992518
44047,1.4063459200637491,1715994963
44049,1.336426450765255,1715995114
44065,1.2715945484720568,1715995644
44075,1.2469764069472646,1715996005
44079,1.2230663188638764,1715996112
44101,1.2356631573927648,1715996639
44106,1.2357279015740916,1715996675
44110,1.2357440878844441,1715996715
44118,1.2411189560763034,1715997168
44128,1.2411029370541702,1715997362
44164,1.2411648663969426,1715998093
44219,1.2411091426298215,1715998903
44223,1.23512199225379,1715998995
44224,1.2324054920423642,1715999077
44290,1.2325569329384818,1716001662
44365,1.2322097679270752,1716004111
44368,1.1693300337550492,1716004321
44380,1.2771666462282314,1716004640
44388,1.389758788864877,1716004709
44458,1.3897487265115227,1716006320
44467,1.383341160122367,1716006442
44470,1.3828915942133309,1716006506
44472,1.3823403736432662,1716006520
44473,1.3823565760532968,1716006525
44476,1.3820371873522006,1716006552
44482,1.3816081830608198,1716006616
44495,1.3816179019205086,1716006673
44550,1.371697025801692,1716007394
44604,1.2781025094127205,1716008936
44619,1.2781235506623063,1716010152
44681,1.279765976779217,1716011685
44701,1.2797701102255923,1716012317
44702,1.2797991724247217,1716012475
44706,1.280496764198377,1716012872
44746,1.284635325331884,1716015059
44749,1.2846215013342437,1716015162
44764,1.2857062782517092,1716015713
44781,1.2857344685293068,1716017038
44794,1.2854839417437947,1716017856
44848,1.2854980196082155,1716020325
44889,1.2855111057936814,1716021446
44892,1.2854750498940826,1716021589
44915,1.2854593705479593,1716022630
44933,1.2863286711450403,1716023430
44939,1.2863423736463213,1716023575
44947,1.2883237066267306,1716023827
44951,1.2891472568111408,1716023921
44987,1.289160718445848,1716025265
45003,1.2890978596639326,1716025918
45004,1.2890350054793458,1716025995
45020,1.2890374335692734,1716026418
45070,1.284450176141768,1716029014
45078,1.2844197681133287,1716029162
45079,1.2859632076988676,1716029169
45080,1.2859703334148034,1716029185
45091,1.285698068845652,1716029938
45092,1.2854493465482553,1716029989
45115,1.2854484513436386,1716030744
45116,1.2854475561399572,1716030763
45127,1.2854466609372106,1716030955
45129,1.2854466846799575,1716031002
45228,1.2944729036489362,1716034670
45406,1.2949680566979187,1716038630
45463,1.2945155918479887,1716039918
45478,1.2957886125805134,1716040018
45480,1.2959275863030282,1716040035
45491,1.2955652124960633,1716040083
45512,1.2980753770466422,1716040190
45590,1.2975849918489457,1716041573
45596,1.2975486780744105,1716041647
45615,1.2976782142856225,1716041874
45618,1.2972243753926986,1716041910
45639,1.3165533172206914,1716042570
45643,1.316256429307176,1716042620
45645,1.3109295736703328,1716042778
45646,1.3106898885071048,1716042818
45721,1.3107056638395627,1716044413
45724,1.3107306551362934,1716044430
45801,1.3104541645927439,1716046578
45839,1.3599057376911117,1716047172
45856,1.3707175505656588,1716047638
45894,1.3708147333503815,1716048139
45901,1.3708147551872578,1716048343
45911,1.3707358878902158,1716048863
45915,1.3706570273992045,1716048927
45923,1.3706531831242386,1716049120
45957,1.3706553665553567,1716049921
45982,1.3707645403285864,1716050577
45985,1.366829873089626,1716050672
45994,1.366953979232451,1716050823
46005,1.3669438347388507,1716050962
46080,1.3669283054848442,1716054200
46081,1.366912894287059,1716054231
46179,1.3669974040486754,1716057598
46202,1.3671030449242971,1716058302
46292,1.366281704507353,1716060687
46298,1.365497363476911,1716060732
46338,1.3664758931952983,1716060960
46389,1.3674929122915425,1716061336
46402,1.3685084664294822,1716061494
46461,1.369459634046257,1716062493
46465,1.3706432701154132,1716062665
46508,1.3708958573334022,1716064455
46525,1.3707965422972934,1716065352
46562,1.3705994949530458,1716066478
46587,1.3415167488598136,1716067028
46592,1.311042839091199,1716067184
46611,1.3064468440015604,1716067531
46683,1.3066211456921712,1716070491
46707,1.3071246225631146,1716070759
46748,1.3071147409433983,1716071761
46761,1.3074875826535544,1716072197
46764,1.3088712899222403,1716072279
46777,1.3096178437434498,1716072501
46781,1.3103967724065992,1716072566
46785,1.310517207032064,1716072633
46790,1.310609527646972,1716072863
46797,1.310705995071816,1716073274
46815,1.311816455121149,1716073891
46824,1.3144305925928506,1716074410
46834,1.3146422868644765,1716074613
46845,1.314637317883374,1716075361
46879,1.3146259442000698,1716076360
46897,1.3146387496571903,1716076530
46900,1.3146387496571903,1716076597
