,px,timestamp
52846,1.0,1716326890
62175,1.0,1716508787
62208,0.1842673196293043,1716510529
62220,0.14263109412457448,1716510847
62224,0.1417697637508668,1716510991
62231,0.13512237078486156,1716511328
62242,0.13512221591326887,1716511454
62258,0.123156931594761,1716511763
62267,0.12315277909239238,1716512201
62275,0.11030634366965783,1716512281
62278,0.11049515918531255,1716512333
62282,0.10375914725672952,1716512523
62284,0.09382635168825083,1716512651
62306,0.09165490211022448,1716513155
62308,0.09080647913220027,1716513170
62310,0.08407678513505798,1716513210
62316,0.07806608255295647,1716513273
62320,0.06824204307314358,1716513397
62322,0.06289522192480489,1716513506
62327,0.062010182464290804,1716513599
62337,0.059176200899508334,1716513669
62340,0.05712635613579874,1716513705
62344,0.05489333305669119,1716513736
62348,0.05742721607961614,1716513786
62350,0.0600104608327977,1716513845
62375,0.059784019221720414,1716514088
62402,0.0597719493637918,1716514424
62429,0.059948731908317524,1716514833
62434,0.06022795404234268,1716514869
62435,0.06064467776000929,1716514894
62438,0.06116038704782652,1716514917
62440,0.06116432662856205,1716514923
62442,0.06168225274224505,1716514945
62444,0.06204462076101354,1716514965
62451,0.06781303793952263,1716515024
62454,0.06781482959855287,1716515047
62463,0.06945808851332348,1716515090
62470,0.07112083149472193,1716515129
62475,0.07167581892270859,1716515160
62477,0.0744831110451452,1716515178
62481,0.07648661942359056,1716515210
62482,0.0773197981060192,1716515225
62489,0.08366278352880147,1716515329
62492,0.08426330525179841,1716515368
62493,0.08668686751401539,1716515381
62497,0.08754985444208392,1716515408
62499,0.08843885203075272,1716515542
62501,0.09062597274455472,1716515570
62502,0.09283980822739343,1716515580
62505,0.09121466909110829,1716515649
62511,0.09807664277306714,1716515802
62512,0.0981283071882317,1716515835
62514,0.09380634495601352,1716515850
62516,0.09719581324320803,1716515856
62520,0.11334244009224963,1716515889
62521,0.11278956125731066,1716515934
62522,0.11224071795136985,1716515948
62523,0.11238820037109669,1716515954
62524,0.11184263749532689,1716515958
62525,0.11076336199257122,1716515969
62542,0.11348796025194707,1716516042
62546,0.11345583046113598,1716516065
62560,0.11337241436204686,1716516151
62561,0.11335902332962401,1716516153
62563,0.11334959425542165,1716516157
62568,0.10974529631375218,1716516199
62570,0.10714858586211407,1716516252
62571,0.10464295889351159,1716516264
62612,0.10472669243246027,1716517036
62634,0.10472685621756775,1716517377
62682,0.10484130825368272,1716518565
62713,0.10484109766588091,1716519678
62763,0.10484070971662234,1716521208
62772,0.10484086563622527,1716521449
62780,0.10485685922147035,1716521854
62782,0.12520052867917292,1716521951
62802,0.12520286869751499,1716522330
62807,0.1252073027324856,1716522527
62808,0.12520644830340394,1716522539
62809,0.12295326044143993,1716522572
62813,0.12281454239193154,1716522639
62816,0.12265725833189152,1716522791
62819,0.1258215614556523,1716522867
62825,0.12489960576635438,1716522998
62834,0.12489543079607605,1716523172
62870,0.1248951033205519,1716523523
62887,0.12488415703341546,1716524283
62889,0.12488695232217652,1716524302
62899,0.1481232063901326,1716524452
62901,0.14805635632977537,1716524542
62909,0.14641436020360474,1716524677
62911,0.14263531874890337,1716524699
62917,0.14251477045360011,1716524811
62918,0.14246754594298422,1716524869
62937,0.14246707430376074,1716525725
62952,0.14240274741245895,1716526026
62975,0.14227330036331476,1716526343
62983,0.14224763874061713,1716526500
62986,0.14223815622024633,1716526558
62988,0.14223375496969837,1716526587
63003,0.1422072689803965,1716526914
63028,0.138735636823594,1716527772
63030,0.1350771293203238,1716527830
63050,0.13507717107987638,1716528046
63077,0.13506920844417195,1716528424
63107,0.13506404366380179,1716528748
63180,0.1351351756048967,1716530710
63190,0.1351222035919707,1716531037
63204,0.13511976780818716,1716531329
63230,0.13511926191410095,1716531858
63261,0.13511162985931405,1716532448
63282,0.1351134366253586,1716532674
63283,0.13511206976685075,1716532674
63353,0.13510057142465923,1716534540
63406,0.13320393308495931,1716535652
63423,0.13320003168027303,1716535936
63467,0.13285616177461995,1716536704
63569,0.13283503449875628,1716539300
63601,0.13282461562241857,1716540037
63689,0.13714637272014477,1716543075
63726,0.13714849537251592,1716544751
63734,0.13725682486269294,1716544850
63829,0.13725680321839145,1716546520
63850,0.13724524798814616,1716547051
63900,0.13724009520895,1716549464
63909,0.1363193978092738,1716549703
64019,0.13330450001974822,1716553912
64021,0.12946567724184482,1716554075
64025,0.12289183576078987,1716554196
64027,0.11719890693870401,1716554272
64028,0.10161148176109117,1716554352
64050,0.10160233494115745,1716555052
64099,0.10160232681010042,1716556192
64164,0.10163409955084683,1716558375
64220,0.10162933269170182,1716559187
64268,0.10162925469223831,1716560976
64271,0.1016370309473555,1716561325
64310,0.10166757082125294,1716562633
64317,0.10169734416040593,1716562772
64319,0.10169741683131911,1716562809
64322,0.10170274751123869,1716562832
64351,0.10170101652073874,1716563708
64409,0.10169396073906412,1716564608
64428,0.10240895502079612,1716564960
64440,0.10241326474113556,1716565692
64444,0.10310184802825166,1716565850
64460,0.10312314123795173,1716566278
64463,0.10315255444141101,1716566379
64464,0.1031819718389492,1716566401
64473,0.10323784360993488,1716566561
64474,0.10323777207318888,1716566571
64478,0.10323771166698448,1716566601
64526,0.10324084953437813,1716568115
64601,0.10323911801667514,1716571846
64605,0.10323891023747804,1716571917
64652,0.10328396737150415,1716573400
64662,0.10329862936715745,1716573683
64663,0.10437956594917848,1716573707
64670,0.10403339093755022,1716573866
64685,0.10404521350908914,1716574049
64735,0.10465479383653768,1716574799
64775,0.10466514326429723,1716575342
64803,0.10472029365958153,1716576070
64808,0.10853102630207055,1716576123
64813,0.10801089770831351,1716576172
