,px,timestamp
37816,2949.3199999999997,1715879570
53104,2949.3199999999997,1716335707
53143,3535.635446476337,1716338165
53182,3535.725442506511,1716340091
53185,3538.666478392374,1716340124
53265,3647.6281482686445,1716342436
53327,3636.539213070073,1716344232
53345,3635.4331015382386,1716344631
53351,3634.305387597658,1716344735
53354,3633.973806887433,1716344877
53411,3636.4194483930683,1716345820
53487,3638.510541790108,1716347684
53583,3638.5825343157235,1716350359
53637,3643.1527371407255,1716351617
53927,3644.0111498841557,1716360244
53935,3645.5294459168917,1716360396
54046,3645.378311037122,1716364969
54048,3644.853642775246,1716365002
54089,3645.478535773895,1716366751
54102,3646.476372172565,1716367251
54104,3645.809922413425,1716367316
54555,3645.787739152982,1716383253
54565,3644.6547704724644,1716383369
54566,3644.63259775411,1716383393
54585,3644.6934343655334,1716383834
54673,3645.722184299712,1716385235
54699,3645.783030004168,1716385580
54715,3623.7007361660794,1716385863
54768,3616.4318391974275,1716387975
54836,3617.3427572844603,1716389272
54909,3617.2838249128936,1716391464
55005,3614.0120653788167,1716394890
55010,3611.833357769895,1716395268
55019,3611.027735265343,1716395413
55021,3609.5913479818028,1716395577
55067,3608.08008733909,1716397339
55069,3606.5620989805575,1716397414
55309,3609.9364455600785,1716402706
55327,3618.0139611734744,1716402979
55556,3617.939627261351,1716409577
55677,3627.9950194096837,1716411449
55685,3617.2024428705568,1716411592
55813,3617.179288237122,1716414084
55936,3610.640489353509,1716416093
56003,3608.464829406911,1716416826
56068,3608.570667048532,1716417530
56076,3598.1733040960025,1716417610
56089,3598.181341889191,1716417744
57472,3549.9504864306195,1716420938
57497,3551.7439733488372,1716421173
57600,3551.7439733488372,1716422398
