,px,timestamp
37816,2949.3199999999997,1715879570
66840,2949.3199999999997,1716663475
66853,3753.639693769229,1716663811
66931,3752.7453836049776,1716668156
67104,3753.873371711476,1716680669
67107,3753.888239251957,1716680701
67364,3751.406291834501,1716699335
67389,3749.7530274567516,1716700913
67390,3748.100855741618,1716700930
67391,3747.770552433373,1716700953
67392,3747.4402927854258,1716700966
67566,3747.429884750213,1716712297
67571,3747.3768274449412,1716712391
67737,3747.5062648868798,1716719572
67745,3748.5351715681472,1716719977
67752,3748.7026059383247,1716720103
67780,3748.7807490713167,1716721093
67795,3748.798378476303,1716721467
67923,3748.814585033007,1716728667
67961,3748.4312063127386,1716730534
67970,3748.527679279425,1716730999
67992,3748.527679279478,1716732019
68039,3755.228633500108,1716734518
68070,3765.1533716399795,1716735215
68080,3787.2997548660987,1716735524
68087,3815.342345007866,1716735635
68091,3837.355267990386,1716735760
68167,3870.123404131638,1716739005
68290,3870.134929011391,1716744242
68300,3870.3224115844027,1716744328
68334,3870.3340313944814,1716745969
68344,3870.10917829166,1716746749
68349,3870.1113390856463,1716746838
68351,3870.645998212849,1716746868
68354,3880.4255989078943,1716746896
68365,3871.965128001209,1716747048
68370,3871.940647799199,1716747142
68434,3871.940647799199,1716749949
