,px,timestamp
37816,2949.3199999999997,1715879570
50523,2949.3199999999997,1716249495
50738,3707.683942886139,1716263225
50775,3715.6936278734333,1716264473
50892,3439.7037880333687,1716268304
50917,3824.0986065383554,1716268553
50959,3829.794418336067,1716269014
51034,3600.5836009090613,1716272490
51078,3600.6546958728845,1716273824
51083,3603.4489114368052,1716273912
51089,3601.267307588254,1716274497
51123,3601.786766581678,1716275306
51218,3601.9078788772536,1716278295
51270,3601.3401081422116,1716279220
51308,3601.341900084527,1716279766
51311,3601.335495133093,1716279797
51486,3601.366114023439,1716287497
51505,3601.3381759603276,1716288077
51506,3601.282300854393,1716288137
51589,3605.763812284487,1716292672
51617,3605.8715652210885,1716293494
51651,3605.859410774524,1716295361
51656,3605.865469763576,1716295539
51667,3605.864737764839,1716296119
51671,3605.8588817764703,1716296362
51672,3605.8586632979936,1716296372
51805,3605.997911174538,1716301192
51950,3606.7706737705043,1716306008
51962,3606.768486190054,1716306415
52613,3613.6065157928692,1716318929
52746,3613.5846265891905,1716323675
52759,3612.644804258715,1716324517
52760,3612.05300768235,1716324599
52774,3613.593202884239,1716324976
52775,3591.6078497546346,1716325013
52779,3591.632005799194,1716325121
52783,3591.662200969125,1716325197
52790,3592.864886802664,1716325314
52898,3588.5285936746673,1716327900
52902,3584.2001461369673,1716327950
52919,3585.157178478406,1716328452
52946,3581.914682150963,1716329152
52948,3580.985977770271,1716329274
52961,3559.4886373362147,1716329958
52965,3538.1572238269086,1716330077
53007,3535.186134595891,1716332584
53040,3535.3866293350598,1716333051
53090,3537.082599572337,1716334858
53104,3537.082599572337,1716335707
