,px,timestamp
37816,2949.3199999999997,1715879570
57600,2949.3199999999997,1716422398
57603,3551.8044205524916,1716422411
57747,3551.888427340921,1716423403
57762,3552.0398015029573,1716423459
57824,3552.0503726956467,1716423744
57856,3547.3824460910528,1716423905
57906,3546.4966125210626,1716424143
57939,3545.0042788889705,1716424382
58117,3545.1375837775167,1716426029
58238,3544.285804726217,1716426840
58253,3543.8174570925407,1716426947
58272,3543.480414273138,1716427024
58286,3544.9289754162614,1716427160
58302,3764.500403817998,1716427266
58355,3744.7645151714432,1716427867
58377,3744.863236454196,1716428025
58391,3742.1627772472852,1716428212
58402,3739.4655226402415,1716428582
58426,3726.8074291087705,1716428982
58438,3724.1270389577007,1716429105
58477,3721.4498974786825,1716429497
58497,3711.7427715382005,1716429711
58522,3649.5493597819286,1716429869
58526,3651.3782635951675,1716429896
58763,3651.385740068373,1716431779
58769,3650.9405305699115,1716431802
58795,3650.9454646988065,1716432076
58802,3650.5008164829287,1716432112
58825,3654.0357175876793,1716432392
58827,3654.045817343936,1716432442
58831,3653.219498738387,1716432547
58842,3652.4983625272866,1716432716
58886,3652.0033763101114,1716433371
58913,3655.773262799986,1716433651
58926,3652.0397780009116,1716433816
58957,3651.48440568806,1716434016
58978,3650.9190825479127,1716434200
59004,3650.365475749318,1716434414
59044,3650.2501501101465,1716434766
59047,3650.2731458971843,1716434805
59055,3650.355267567179,1716434947
59073,3650.376906956836,1716435090
59099,3649.198832424805,1716435279
59113,3648.3178660184963,1716435458
59130,3647.2384177510107,1716435610
59205,3647.245451381534,1716437272
59258,3639.6319661532684,1716438557
59263,3634.0772986571997,1716438708
59302,3634.139705914948,1716439461
59316,3638.981347949245,1716439730
59336,3638.9820455389313,1716440115
59339,3639.04874852701,1716440131
59426,3636.834740578705,1716442231
59427,3635.7506142006655,1716442289
59434,3634.3993960238163,1716442545
59575,3631.9260010652324,1716445713
59586,3631.9564053645468,1716446017
59597,3632.1388338329525,1716446292
59727,3632.1368248291337,1716448460
59843,3631.6191159498276,1716449963
60024,3630.9811930218984,1716452379
60026,3631.600098927297,1716452384
60036,3631.277170575069,1716452458
60062,3630.8290529796,1716452981
60067,3630.511741326466,1716453061
60070,3630.0139873321996,1716453169
60150,3630.0190305303286,1716455759
60166,3630.0144011954667,1716456076
60215,3629.5853937852753,1716457558
60217,3629.319358652496,1716457646
60219,3629.059031773004,1716457733
60243,3628.631816468845,1716458211
60248,3628.227816246993,1716458386
60256,3627.869299731014,1716458533
60259,3627.6365635424986,1716458624
60272,3627.6984313933,1716458784
60305,3627.272805995054,1716459342
60310,3626.928998947042,1716459404
60316,3626.5248408677917,1716459576
60320,3626.0899871136985,1716459651
60362,3626.087095306037,1716460887
60375,3626.06547366023,1716461247
60379,3626.0344576551115,1716461311
60456,3626.0264268219844,1716462207
60541,3627.4624183847454,1716464112
60578,3629.066970426627,1716465185
60600,3629.0675597747745,1716465767
60635,3629.0781420693943,1716466499
60647,3629.090516426564,1716466768
60806,3632.020175968964,1716470515
60809,3632.0168038145225,1716470541
60810,3632.0134316647773,1716470583
60817,3632.015381666918,1716470728
60931,3632.0203334099165,1716474111
60973,3753.1411438545706,1716475440
61001,3753.0947895606887,1716476981
61234,3750.7759079110847,1716485467
61239,3749.1076435954706,1716485642
61340,3734.4476627729114,1716488258
61362,3736.190956718203,1716489096
61639,3736.190726288124,1716497631
61702,3731.213240521391,1716498143
61740,3745.862745627438,1716498701
62091,3749.5902058748534,1716505643
62166,3756.3897051528747,1716508619
62175,3756.3897051528747,1716508787
